BAL_visit_0.3,BE_visit_0.3,BAL_eos_0.1,BE_eos_0.1,BAL_neut_0.1,BAL_feno_0.1,BE_feno_0.1
RPS6KB2,ERMP1,CDR2,,,,
CMTM1,S1PR4,TMEM176B,,,,
PASK,RNF24,DUOX1,,,,
NECAP2,LLPH,CD79A,,,,
TRAM2,CDC16,TFPI,,,,
FRK,ARFGEF2,NTRK1,,,,
ADA,PDE4DIP,DRD5,,,,
TMX2,SASH3,LYPD6B,,,,
TMEM156,KNSTRN,RIMKLA,,,,
MORN2,CNTLN,PAPSS2,,,,
POLD1,CYSLTR1,CRTAM,,,,
IL37,STK10,TATDN2,,,,
CCDC151,CDK2AP2,F12,,,,
PCNA,MSRB1,MTHFD2,,,,
TRIP6,ARL16,MAP2K1,,,,
SCOC,USF1,MAST4,,,,
USP40,PROM1,HCG27,,,,
PSMC3,RNH1,ATP2B4,,,,
NFE2L2,IRF2BPL,ATL1,,,,
ANKRD66,CCDC71L,TMEM41B,,,,
GSTA4,VCAM1,ZNF101,,,,
SYT4,IGSF11,SLX4,,,,
CKAP2L,RDH5,SNX22,,,,
KAT8,ZNF404,CORO6,,,,
PPP1R42,MTSS1L,NLE1,,,,
LRRC63,ATG9B,CCL7,,,,
TMEM9B,PCBP2,CERKL,,,,
MRO,CHCHD10,PSMC6,,,,
ZCCHC2,ZNF470,GAL3ST4,,,,
CCDC13,APEH,MT3,,,,
LAMP2,ERCC5,TIGIT,,,,
MT-CYB,TMEM161A,RGS2,,,,
RND2,RSG1,NEDD4L,,,,
WDR49,SESTD1,SLCO4A1,,,,
SPA17,ODF2L,GRAMD1B,,,,
DCAF5,AFF4,IL21R,,,,
THG1L,KCNJ6,P2RY6,,,,
MBD4,PLEKHA3,TLR6,,,,
FYCO1,CGRRF1,SMIM14,,,,
ZIK1,PLIN3,ERCC4,,,,
GLDN,VDAC1,YPEL4,,,,
IL17RE,PIK3CB,WDR49,,,,
CFAP43,ZRANB2,FILIP1L,,,,
CFAP52,LRRN4,EXPH5,,,,
FGD5,CA3,ABCC5,,,,
CEBPZOS,TRIM9,XAF1,,,,
AKAP7,PABPC4L,DYRK1B,,,,
MED7,KLF9,TRIM6,,,,
FDFT1,PLA1A,HELZ2,,,,
ISCA1,SEC14L4,CDIP1,,,,
NPDC1,TMEM185B,IGF1,,,,
EPN2,RABEP2,GGA1,,,,
ODF3B,HMBS,MT-ND5,,,,
NOSIP,BID,LGALS2,,,,
C22orf23,MRTO4,CD5L,,,,
TSEN54,LRRC25,NCF4,,,,
CDC7,SRGAP3,FCRL1,,,,
GTPBP2,CHRNA7,NKPD1,,,,
TRIM6,KLHDC1,PPP1R21,,,,
DSTN,IL15,PDE6G,,,,
PQLC3,GDPD4,EPHB3,,,,
ZNF771,ENTPD6,MPO,,,,
RFTN1,FDXR,SECISBP2,,,,
SLBP,CHCHD3,MYC,,,,
SYP,CECR5,HBB,,,,
MUC15,MOGAT2,ADH1C,,,,
CENPP,IFITM2,TMEM51,,,,
LRP5L,GMPS,SGTB,,,,
WDR78,ESRRG,DRAM1,,,,
CCNG2,CD163,GABRE,,,,
FAM134B,FAM208B,SNX9,,,,
C1QA,UGP2,KIAA1549,,,,
TMEM63A,CHRNA1,ATP13A3,,,,
FCGR3A,SLC4A2,ETAA1,,,,
SPC24,CCBL1,SYNGR1,,,,
OSBPL11,CRIP2,ALPK1,,,,
CPAMD8,C2orf78,FNBP1,,,,
SHMT1,COPZ2,SCARF2,,,,
PEX3,CDKL3,DERL1,,,,
SLC7A2,ZFHX3,PRR14L,,,,
SIRPD,ARMC2,MED1,,,,
OTOA,NACC1,RASGRF1,,,,
ST6GALNAC6,TGFBR1,FAM175A,,,,
PIK3R1,FRMD4A,AP5S1,,,,
LRRC71,DUSP3,KCNA2,,,,
STRN4,ETNK2,PLOD3,,,,
ANKRD42,GSTZ1,FBXL22,,,,
WDR38,TXNDC17,MERTK,,,,
UPF2,RBPJ,PLK2,,,,
ACSF2,SRL,ZNF589,,,,
TEN1-CDK3,LAMTOR1,DAGLB,,,,
HIST1H2BG,SEPT9,ABHD14A,,,,
DNASE1L3,LNX2,GALNT11,,,,
OSBPL6,TMEM198,NFATC3,,,,
NCAPG,MAP4K2,TAPT1,,,,
NHLRC3,CIZ1,NEK8,,,,
FMO2,BTG3,BTAF1,,,,
CEP126,HUS1,MEFV,,,,
TYK2,FAM213A,LRPAP1,,,,
AQP8,SLC9A3,UBE2E2,,,,
CTAGE5,SCGB3A1,LRRCC1,,,,
P2RY13,CDH12,CHN1,,,,
FZD7,HBA2,DUOX2,,,,
DTX4,EEA1,STAT5A,,,,
SPEF2,CATIP,ADPRHL2,,,,
AR,CXorf57,ASB8,,,,
BIK,GOLPH3L,ZNF334,,,,
ZDHHC1,STAG1,ZNF853,,,,
DDX24,TFPI2,NR2C2,,,,
TRIM14,TMEM178A,PHYH,,,,
IRF8,PIK3R1,CCDC114,,,,
PSTPIP2,GPRIN2,TSPAN19,,,,
IL18BP,ABHD2,SMC1A,,,,
GALT,UBAP1,RNF149,,,,
ARHGAP25,MEGF11,ANGEL1,,,,
VTI1B,ALYREF,RBFA,,,,
SIX1,PHIP,SLC30A1,,,,
S100A13,ASB13,MOB3A,,,,
MAP1LC3C,SPRY2,AUNIP,,,,
RABGAP1L,CXCL9,SAMHD1,,,,
GPR162,ZXDB,USP54,,,,
PAFAH2,EXOC3L4,MTPN,,,,
CCDC96,CRMP1,POMGNT2,,,,
AXL,PPP1R3B,DDX17,,,,
CYLD,MSMO1,RSBN1L,,,,
ZDHHC14,C12orf75,MED28,,,,
PELI3,ABHD8,PCCA,,,,
DHRS13,TMTC2,BOD1L1,,,,
DLD,ZYG11A,CRYL1,,,,
TMEM230,ADI1,EPB41L2,,,,
ISOC2,PSMC4,VSIG10L,,,,
SSBP2,TGIF1,WSB2,,,,
PTBP1,NOL12,C1orf123,,,,
RGS12,SMYD4,UHRF2,,,,
PPIC,CDC42EP3,MIDN,,,,
ERICH5,TP53I3,LEF1,,,,
SLC38A7,HIRIP3,MEOX1,,,,
DNAI2,HHEX,LPIN3,,,,
HPGD,LILRB2,DZIP1,,,,
ASB1,MMP16,GABPB2,,,,
SNTN,NIPA2,KANK1,,,,
CCNJL,AJAP1,VAMP3,,,,
CACNA1I,UNC79,NEK11,,,,
MIPOL1,RFFL,RXFP2,,,,
CACNA2D3,TP53,NSMF,,,,
RABGGTB,AAGAB,PTBP2,,,,
RAD18,QRSL1,A4GALT,,,,
DPH1,ZNF76,U2AF1,,,,
C4orf47,TMEM52,RYR1,,,,
FILIP1,GAB3,IREB2,,,,
IL18,HYAL1,FMN1,,,,
GRIN3B,UTP14A,APOD,,,,
DLX4,ADCY7,HSD11B1,,,,
FZD5,CFAP44,SBDS,,,,
DENND4C,PDE10A,ADM,,,,
KIAA1191,GGT1,CRLS1,,,,
RAP2B,JADE1,NINJ2,,,,
ACVR1B,CRB3,ZNF32,,,,
FBRSL1,CCDC17,ATP13A1,,,,
IFNLR1,BCL2L15,PLA2G6,,,,
DPEP2,PIGW,CHST3,,,,
AAMDC,ZCCHC9,CD3G,,,,
LAIR1,NRG1,C9orf135,,,,
ANKRD37,HES6,LYAR,,,,
PPIL6,RTEL1-TNFRSF6B,MS4A6E,,,,
BCORL1,ABHD17C,BST2,,,,
C11orf74,EBF4,PEX7,,,,
C19orf67,MAGI2,LSR,,,,
CEP44,PON3,TTC39B,,,,
STAT5A,NLRC3,SLC7A1,,,,
OAT,PKIB,DYNC1I2,,,,
SUCLG2,PLXDC2,PIP5KL1,,,,
MCM8,CDH7,MT2A,,,,
RAE1,CMSS1,TUBA4B,,,,
XPNPEP2,NR1H2,FAM149A,,,,
MEFV,SMTNL1,CNOT8,,,,
ZSCAN26,UAP1L1,PRSS21,,,,
CENPH,SLC27A4,ABCA4,,,,
COL25A1,RFX6,SNCA,,,,
DLST,CYP2J2,CCNB3,,,,
MYCT1,CCDC9,PAK4,,,,
GNA15,OTX1,RPP25,,,,
CCDC42B,PLBD2,ADPRH,,,,
IL16,NEK2,FHL2,,,,
NFU1,ARSB,TP53BP2,,,,
GMEB2,HINT3,CASP2,,,,
IQCG,NFIC,CFAP36,,,,
DYNC2H1,SLC46A2,VPS4B,,,,
IFRD1,,HSPG2,,,,
KNDC1,,NPDC1,,,,
ENAH,,TIGD1,,,,
SLC44A1,,PTP4A3,,,,
NINJ1,,C11orf30,,,,
ISY1,,CLIP4,,,,
RPS6KL1,,HIC2,,,,
ZNF487,,CLECL1,,,,
TMEM246,,RAPSN,,,,
RAB40C,,JAKMIP2,,,,
TK2,,FBXL2,,,,
CES4A,,NSD1,,,,
KCNA5,,OXCT1,,,,
CFAP36,,ALDH7A1,,,,
MRC2,,HMGN3,,,,
SEMA4D,,SESTD1,,,,
LDLRAD1,,TNFRSF11A,,,,
TAGLN3,,SELENBP1,,,,
FOXP2,,HUS1,,,,
CTDSP1,,KIAA0040,,,,
SOCS2,,VWA5A,,,,
ABCA13,,TUBB3,,,,
PRDM5,,LYSMD1,,,,
FOLR1,,ATF3,,,,
GMEB1,,SH3TC1,,,,
SPIDR,,ARSD,,,,
FCRL3,,TAB3,,,,
TAX1BP1,,MOCS1,,,,
DAPK1,,TLR8,,,,
HK2,,MOK,,,,
RRP36,,PDZD2,,,,
SLC35B3,,FBXL4,,,,
EXD3,,ACOT2,,,,
GLCCI1,,HIST1H2BK,,,,
BTBD11,,ARL11,,,,
CYB5R4,,ZNF296,,,,
GALNT3,,ANGPTL5,,,,
ZDHHC2,,GAREML,,,,
TRIB1,,ST6GALNAC3,,,,
C1orf194,,MZT2A,,,,
PSD3,,ABHD15,,,,
NXF3,,PIGR,,,,
ZNF408,,CCDC13,,,,
STIM2,,DYDC2,,,,
VAC14,,ACVR1B,,,,
LIMA1,,ANPEP,,,,
ARHGAP19,,AKAP7,,,,
HAS1,,ATP1A3,,,,
CD96,,PRDX4,,,,
MAN2B2,,GMEB2,,,,
ABHD5,,OPTN,,,,
CAPN11,,CSNK1E,,,,
FHAD1,,BRWD1,,,,
OXTR,,C1orf101,,,,
SLC26A1,,CDC14B,,,,
RAPH1,,TRHDE,,,,
IER3,,PCDH1,,,,
TMEM14C,,CYP4X1,,,,
DKK3,,PTPRO,,,,
PTPRM,,DIP2B,,,,
HIST2H2BE,,TRIM3,,,,
ARHGAP32,,SPIDR,,,,
CYP2F1,,PLP2,,,,
C9orf116,,UBE2R2,,,,
ATP9A,,HOXC4,,,,
METTL1,,IL10,,,,
L3MBTL3,,RRAGA,,,,
ACAP3,,MMP11,,,,
EXOC3L4,,KIAA0355,,,,
CLEC2D,,ZNF860,,,,
TBCC,,TNNI1,,,,
OGFRL1,,TLR3,,,,
RAMP1,,LMNTD2,,,,
CARD11,,CMBL,,,,
PPP1R3E,,LILRB1,,,,
CLCNKA,,MYD88,,,,
EVI5,,SLC13A3,,,,
ECE2,,CHST9,,,,
ZNF652,,C3orf58,,,,
CX3CR1,,JPH4,,,,
KLRK1,,GNG12,,,,
GGT1,,SCP2,,,,
GRK6,,ZNF284,,,,
GPR82,,GIMAP2,,,,
DSEL,,PIGC,,,,
CD72,,ITPRIPL1,,,,
CAMSAP3,,SPRYD4,,,,
PNPLA2,,CD37,,,,
AUNIP,,KIAA0226L,,,,
RGS16,,TBC1D30,,,,
CAMSAP1,,ADPGK,,,,
PAFAH1B2,,CTNNA1,,,,
SOWAHB,,DGCR2,,,,
ERLEC1,,ANXA2R,,,,
MED11,,TNFSF8,,,,
TMEM232,,PRPF38B,,,,
ATP1A3,,CEBPA,,,,
SMAD3,,C3orf62,,,,
CYB561,,LAMP5,,,,
GYPC,,ADORA1,,,,
AP1M1,,RFX2,,,,
MYO1A,,PMP22,,,,
ZNF345,,TSKS,,,,
PEX13,,CUX2,,,,
SLC26A11,,HAMP,,,,
SERPINI1,,IFI30,,,,
TCHP,,CXCL10,,,,
CMBL,,PITX1,,,,
DLG5,,PHF12,,,,
NKPD1,,USP11,,,,
EFCAB6,,DOK1,,,,
KIF1B,,PATZ1,,,,
APBB1IP,,ZNF33B,,,,
IQCK,,KXD1,,,,
DDX60L,,MS4A6A,,,,
LRP10,,SLC12A3,,,,
OGG1,,MMP17,,,,
TADA3,,LZTFL1,,,,
FBXO24,,HOXB7,,,,
OVOL1,,KRT7,,,,
CRLS1,,ACOX1,,,,
GSN,,HYDIN,,,,
ILDR2,,TLDC2,,,,
ZNF786,,KIAA0930,,,,
VRK2,,PLA2G10,,,,
AGMAT,,PPCDC,,,,
SIRPB1,,RGAG4,,,,
ESYT1,,MGLL,,,,
DEF6,,L2HGDH,,,,
CPNE3,,NRG1,,,,
CXCL5,,IFT43,,,,
EAF2,,SSR1,,,,
PPA2,,PRSS12,,,,
SBF2,,RSPH4A,,,,
SCYL3,,SLC12A6,,,,
AP3S2,,EPOR,,,,
SLC2A1,,GNA12,,,,
STX11,,CCDC181,,,,
UBTD1,,ZNF830,,,,
CSPP1,,NEK10,,,,
PPM1D,,GATB,,,,
GALK1,,STK25,,,,
SLC4A3,,PAQR5,,,,
ZGRF1,,CHD1,,,,
TBC1D9,,MPPE1,,,,
USP44,,TMEM230,,,,
GRN,,STS,,,,
SPAG8,,DDX26B,,,,
MORN5,,CCDC40,,,,
EPPIN,,CPNE5,,,,
ITLN1,,PDE8A,,,,
HSDL2,,SLC35F3,,,,
SDK1,,TMEM254,,,,
PLAC8,,GIMAP7,,,,
ARMC2,,SAP30BP,,,,
YIF1B,,TGIF2,,,,
FAM110A,,AP4S1,,,,
UBOX5,,TRIQK,,,,
ADCY4,,DNAI1,,,,
EIF4E3,,CHST14,,,,
SLC25A36,,FBXO41,,,,
RASD1,,EIF4G3,,,,
TRIM44,,ANXA9,,,,
LCP2,,ERLEC1,,,,
CCL20,,AKR1C3,,,,
SDCCAG8,,TTC39A,,,,
LOX,,RILPL1,,,,
RNF168,,FCRLB,,,,
FBXO9,,TUBB6,,,,
GOPC,,DNAJC4,,,,
NME9,,USPL1,,,,
PLEKHS1,,BCORL1,,,,
C15orf48,,RAB31,,,,
ENPP6,,ASCL2,,,,
BMPR2,,SPINT2,,,,
PRAF2,,PFKFB4,,,,
STRIP2,,N4BP2L1,,,,
COL28A1,,RC3H1,,,,
SBDS,,PTAFR,,,,
TOP3A,,HTT,,,,
PHKG2,,GLOD4,,,,
KLHL2,,,,,,
SRPRB,,,,,,
SLC40A1,,,,,,
MPP6,,,,,,
VRK1,,,,,,
CACYBP,,,,,,
NIN,,,,,,
PPP1R3D,,,,,,
YPEL4,,,,,,
STX7,,,,,,
PPFIA4,,,,,,
USP7,,,,,,
CD79A,,,,,,
LRFN1,,,,,,
FKBP3,,,,,,
LRRC59,,,,,,
FAM198B,,,,,,
DDX58,,,,,,
JARID2,,,,,,
DEGS2,,,,,,
CHRM3,,,,,,
TKT,,,,,,
EPS8L1,,,,,,
ANKK1,,,,,,
MYD88,,,,,,
SLC16A3,,,,,,
PARP14,,,,,,
IGF1,,,,,,
MFSD6L,,,,,,
IRX5,,,,,,
OASL,,,,,,
RHOB,,,,,,
PYGO2,,,,,,
FHOD1,,,,,,
DGCR2,,,,,,
A4GNT,,,,,,
PACS1,,,,,,
TNFRSF9,,,,,,
VAMP4,,,,,,
CEP19,,,,,,
MT-ATP8,,,,,,
DDO,,,,,,
FBXL2,,,,,,
PRDM8,,,,,,
NEU3,,,,,,
ATF5,,,,,,
C6orf1,,,,,,
CPNE5,,,,,,
DDX60,,,,,,
MINK1,,,,,,
TCF7L1,,,,,,
TTF2,,,,,,
TEKT2,,,,,,
RRS1,,,,,,
STK33,,,,,,
VSIG8,,,,,,
HEXA,,,,,,
ANGPTL1,,,,,,
RASGRP3,,,,,,
MUM1,,,,,,
ADORA1,,,,,,
STAC3,,,,,,
SOWAHD,,,,,,
UBE2R2,,,,,,
TP53AIP1,,,,,,
NQO1,,,,,,
NLRC5,,,,,,
SCARA3,,,,,,
SIDT2,,,,,,
TBCD,,,,,,
THOC5,,,,,,
BST1,,,,,,
KIF13A,,,,,,
SEMA4B,,,,,,
PYGM,,,,,,
PILRB,,,,,,
BPIFB2,,,,,,
GPR65,,,,,,
ARHGEF3,,,,,,
OSBPL8,,,,,,
SLC2A9,,,,,,
SERPINI2,,,,,,
ZNF710,,,,,,
EEF1A1,,,,,,
RNF135,,,,,,
YARS,,,,,,
MACROD1,,,,,,
GALNT12,,,,,,
RUNX2,,,,,,
TTC22,,,,,,
PAN2,,,,,,
MGST3,,,,,,
ZNF800,,,,,,
CCDC69,,,,,,
MMP19,,,,,,
RPH3AL,,,,,,
STRADA,,,,,,
SMARCA4,,,,,,
PNKD,,,,,,
A4GALT,,,,,,
STK4,,,,,,
FRMD8,,,,,,
TMEM190,,,,,,
CTSS,,,,,,
NAT9,,,,,,
CCDC106,,,,,,
YPEL2,,,,,,
ITPKB,,,,,,
CLTB,,,,,,
SPCS2,,,,,,
APRT,,,,,,
BUB1,,,,,,
SAXO2,,,,,,
MAP4K3,,,,,,
SLC2A13,,,,,,
DNAH9,,,,,,
NUDT8,,,,,,
LPGAT1,,,,,,
PDAP1,,,,,,
CABLES1,,,,,,
STXBP3,,,,,,
FAM83E,,,,,,
PCYOX1L,,,,,,
TSC22D3,,,,,,
VWA3B,,,,,,
C10orf105,,,,,,
PGM2,,,,,,
SMYD2,,,,,,
CDK18,,,,,,
TXNRD2,,,,,,
C17orf53,,,,,,
SLC17A5,,,,,,
SOX2,,,,,,
SLC35A1,,,,,,
TEKT4,,,,,,
CX3CL1,,,,,,
TMEM183A,,,,,,
HSPA1L,,,,,,
CCNO,,,,,,
VSIG10L,,,,,,
CALCOCO1,,,,,,
NCK2,,,,,,
PDCD1LG2,,,,,,
ACVRL1,,,,,,
C9orf135,,,,,,
CAMK4,,,,,,
TAF11,,,,,,
SLC29A2,,,,,,
RBM20,,,,,,
RRM2B,,,,,,
ZFP30,,,,,,
SNRK,,,,,,
TC2N,,,,,,
PARP6,,,,,,
IFT172,,,,,,
MMP17,,,,,,
ERC1,,,,,,
TSHZ3,,,,,,
TTC21A,,,,,,
PLXNB1,,,,,,
PTPN12,,,,,,
KIF5C,,,,,,
RAB41,,,,,,
LIMS1,,,,,,
N4BP2L2,,,,,,
ARMC3,,,,,,
IFI30,,,,,,
ADAMTS15,,,,,,
SFTPA1,,,,,,
CLU,,,,,,
TMEM231,,,,,,
CFAP70,,,,,,
TPM4,,,,,,
CCDC33,,,,,,
STOX1,,,,,,
GLI1,,,,,,
SLAMF8,,,,,,
CTSE,,,,,,
HIPK2,,,,,,
DEFB1,,,,,,
SPATA6,,,,,,
CABYR,,,,,,
CD302,,,,,,
GDE1,,,,,,
AK3,,,,,,
ANKRD13A,,,,,,
TICRR,,,,,,
OLFM1,,,,,,
DNAL1,,,,,,
POLE,,,,,,
RNF32,,,,,,
DFNA5,,,,,,
CMTR2,,,,,,
PIP5KL1,,,,,,
TEX14,,,,,,
DUSP8,,,,,,
WBP1,,,,,,
VASH1,,,,,,
DNAJC28,,,,,,
HOOK2,,,,,,
RUFY2,,,,,,
PFN2,,,,,,
RASA3,,,,,,
KBTBD11,,,,,,
LRRC6,,,,,,
ZDHHC11,,,,,,
SAMHD1,,,,,,
SENP1,,,,,,
GSG2,,,,,,
EGR2,,,,,,
ZNF585B,,,,,,
C1orf110,,,,,,
PITPNA,,,,,,
RFFL,,,,,,
PRR14,,,,,,
TMEM204,,,,,,
MARCH8,,,,,,
KIAA0368,,,,,,
CPSF1,,,,,,
C9orf9,,,,,,
C15orf39,,,,,,
FAM92B,,,,,,
PLK4,,,,,,
MALRD1,,,,,,
SLC7A6,,,,,,
LY6E,,,,,,
KLK10,,,,,,
TMEM191B,,,,,,
INSR,,,,,,
DCTD,,,,,,
BPIFA1,,,,,,
HAUS2,,,,,,
BIVM,,,,,,
VNN1,,,,,,
TEF,,,,,,
HDHD2,,,,,,
RAB12,,,,,,
TMC8,,,,,,
PTPRO,,,,,,
MT-ND4L,,,,,,
ORC6,,,,,,
NR3C1,,,,,,
SLC45A3,,,,,,
PGM5,,,,,,
IL1RL2,,,,,,
DHRS3,,,,,,
MAPK3,,,,,,
GPR149,,,,,,
NEK2,,,,,,
CSPG4,,,,,,
EDNRB,,,,,,
BLOC1S2,,,,,,
ZNF354C,,,,,,
POLR2D,,,,,,
MFSD6,,,,,,
HIGD1A,,,,,,
DDOST,,,,,,
DRAP1,,,,,,
BIRC6,,,,,,
CFAP45,,,,,,
FBXL5,,,,,,
CAPSL,,,,,,
EBI3,,,,,,
WDHD1,,,,,,
ICOS,,,,,,
TSG101,,,,,,
C11orf24,,,,,,
RTN3,,,,,,
KCNA3,,,,,,
ECT2L,,,,,,
CCDC136,,,,,,
GALNT11,,,,,,
USP43,,,,,,
PMP22,,,,,,
ORAI1,,,,,,
FLT3LG,,,,,,
MS4A2,,,,,,
ZNF444,,,,,,
EIF4A1,,,,,,
SURF4,,,,,,
CACUL1,,,,,,
ZNF646,,,,,,
SIAH2,,,,,,
DLEC1,,,,,,
DMKN,,,,,,
SLCO2B1,,,,,,
PMF1,,,,,,
AK7,,,,,,
ENTPD4,,,,,,
TMEM97,,,,,,
BTNL8,,,,,,
TMEM158,,,,,,
SLC7A7,,,,,,
AP2A1,,,,,,
OXSR1,,,,,,
RNF111,,,,,,
HNRNPDL,,,,,,
HERC5,,,,,,
TOMM70A,,,,,,
KPNA7,,,,,,
PAPSS1,,,,,,
AIMP2,,,,,,
ZNF623,,,,,,
CDCA4,,,,,,
NUDT17,,,,,,
ZFPL1,,,,,,
TAF5,,,,,,
C4orf22,,,,,,
MAN1A1,,,,,,
PI16,,,,,,
CHEK1,,,,,,
FAM122A,,,,,,
DTYMK,,,,,,
TNFRSF11B,,,,,,
CENPQ,,,,,,
SLC25A26,,,,,,
AOX1,,,,,,
MDP1,,,,,,
NFAM1,,,,,,
SERPINA1,,,,,,
SCNN1B,,,,,,
ITM2B,,,,,,
MLC1,,,,,,
MRPS6,,,,,,
FGD6,,,,,,
LCOR,,,,,,
INCA1,,,,,,
SLC44A4,,,,,,
MDFIC,,,,,,
MS4A14,,,,,,
ODC1,,,,,,
HIST1H4C,,,,,,
PCBP1,,,,,,
CHM,,,,,,
UNC5B,,,,,,
ZNF485,,,,,,
PRKD2,,,,,,
USP6,,,,,,
SLC19A2,,,,,,
IL24,,,,,,
NPRL2,,,,,,
HIST1H2BK,,,,,,
TRIM2,,,,,,
ANP32A,,,,,,
KIF16B,,,,,,
DHX15,,,,,,
USP6NL,,,,,,
PREPL,,,,,,
LMNA,,,,,,
RYBP,,,,,,
FAM189A2,,,,,,
NKIRAS1,,,,,,
TMPRSS3,,,,,,
TMC1,,,,,,
EEF2K,,,,,,
HPGDS,,,,,,
ENKUR,,,,,,
ABTB2,,,,,,
SLC37A4,,,,,,
TBP,,,,,,
KIF21A,,,,,,
ITPKA,,,,,,
TMEM184A,,,,,,
AGPAT3,,,,,,
BTC,,,,,,
PIH1D1,,,,,,
PARP1,,,,,,
RHOQ,,,,,,
GABRA4,,,,,,
NCOA4,,,,,,
CENPL,,,,,,
MT1X,,,,,,
ANP32E,,,,,,
FRMPD2,,,,,,
ZDHHC21,,,,,,
RTN4,,,,,,
STIL,,,,,,
PPP6R1,,,,,,
B3GNT7,,,,,,
FAM173B,,,,,,
ARHGEF35,,,,,,
GSK3A,,,,,,
SNAP23,,,,,,
AATK,,,,,,
DEPDC1B,,,,,,
GEM,,,,,,
PARD3B,,,,,,
TRPM4,,,,,,
DALRD3,,,,,,
MIS18BP1,,,,,,
NLRC4,,,,,,
MKL1,,,,,,
ZDHHC16,,,,,,
SPRYD7,,,,,,
TAF5L,,,,,,
C21orf59,,,,,,
TACC2,,,,,,
P4HB,,,,,,
RBP4,,,,,,
CD4,,,,,,
CD226,,,,,,
SUV39H1,,,,,,
TYSND1,,,,,,
WNT5A,,,,,,
TCN2,,,,,,
B4GALT2,,,,,,
STK3,,,,,,
CLCA2,,,,,,
SOAT1,,,,,,
PIH1D2,,,,,,
PTCHD2,,,,,,
SEMA6B,,,,,,
SESTD1,,,,,,
PRKRA,,,,,,
KRT6A,,,,,,
TMEM242,,,,,,
LRP2,,,,,,
C6orf201,,,,,,
NCBP2,,,,,,
PRSS36,,,,,,
TTN,,,,,,
VSIG1,,,,,,
SLC31A2,,,,,,
RBM10,,,,,,
EDA2R,,,,,,
FARSB,,,,,,
GPR25,,,,,,
FOS,,,,,,
MPC1,,,,,,
GIMAP6,,,,,,
TMTC2,,,,,,
TLCD2,,,,,,
LRRC32,,,,,,
MAPRE3,,,,,,
EPHX1,,,,,,
POU6F1,,,,,,
C19orf48,,,,,,
KIF6,,,,,,
WDR13,,,,,,
NME3,,,,,,
ANKRD44,,,,,,
NTAN1,,,,,,
HSPBAP1,,,,,,
LRR1,,,,,,
PPAP2C,,,,,,
CYB561D1,,,,,,
RBL1,,,,,,
KIAA2018,,,,,,
ARID1A,,,,,,
DRC7,,,,,,
SCIMP,,,,,,
SNRPN,,,,,,
ARHGAP23,,,,,,
GAN,,,,,,
TMCO6,,,,,,
TNRC6C,,,,,,
PCTP,,,,,,
DDIAS,,,,,,
ZNF181,,,,,,
RNF144B,,,,,,
TNRC18,,,,,,
CHD7,,,,,,
ARMC8,,,,,,
RAB25,,,,,,
DNM2,,,,,,
RDH14,,,,,,
GXYLT1,,,,,,
DZANK1,,,,,,
LYRM9,,,,,,
RNF19B,,,,,,
TNFRSF17,,,,,,
TTC37,,,,,,
PYHIN1,,,,,,
TNFRSF18,,,,,,
PDE6G,,,,,,
TRIM69,,,,,,
HEXIM2,,,,,,
SIRT3,,,,,,
CDK15,,,,,,
XKR6,,,,,,
ST6GALNAC2,,,,,,
PPWD1,,,,,,
IL9R,,,,,,
SLC22A16,,,,,,
NCAPH2,,,,,,
NFATC3,,,,,,
ANLN,,,,,,
PAMR1,,,,,,
ADAM22,,,,,,
RIPK4,,,,,,
CYGB,,,,,,
LPL,,,,,,
DNAH3,,,,,,
RSPH9,,,,,,
RASL11A,,,,,,
ZC3H12D,,,,,,
MPDU1,,,,,,
AMDHD1,,,,,,
P2RX4,,,,,,
CCDC176,,,,,,
ISG20L2,,,,,,
WHSC1,,,,,,
NTRK1,,,,,,
CHST10,,,,,,
SNRNP35,,,,,,
TLR6,,,,,,
CD164L2,,,,,,
HLA-DOA,,,,,,
SEC61A1,,,,,,
IL32,,,,,,
AKAP9,,,,,,
BMPR1B,,,,,,
PRPF38B,,,,,,
ATOH8,,,,,,
PKDCC,,,,,,
TET2,,,,,,
NLRP12,,,,,,
FBXL17,,,,,,
NLRC3,,,,,,
ADGB,,,,,,
ANG,,,,,,
SEC14L1,,,,,,
ST3GAL6,,,,,,
PRR11,,,,,,
IGFLR1,,,,,,
CROCC2,,,,,,
METRNL,,,,,,
IDUA,,,,,,
ADM2,,,,,,
COL4A3BP,,,,,,
HIC2,,,,,,
U2AF2,,,,,,
KCNJ2,,,,,,
NUPL2,,,,,,
LPO,,,,,,
FCHSD2,,,,,,
APMAP,,,,,,
RGS22,,,,,,
FAM49A,,,,,,
IGF1R,,,,,,
GMPPA,,,,,,
NGEF,,,,,,
FAM78A,,,,,,
MYRF,,,,,,
USP30,,,,,,
FAM86B1,,,,,,
NUS1,,,,,,
C6orf132,,,,,,
GINS3,,,,,,
S100A1,,,,,,
NFIX,,,,,,
TAL1,,,,,,
A2M,,,,,,
PHLDA3,,,,,,
NSD1,,,,,,
TFPI2,,,,,,
MAP3K19,,,,,,
LSP1,,,,,,
GSE1,,,,,,
PIPOX,,,,,,
GRAMD4,,,,,,
EPHA4,,,,,,
DCSTAMP,,,,,,
RHOG,,,,,,
PIGV,,,,,,
CTXN1,,,,,,
JMY,,,,,,
SPATA4,,,,,,
LYAR,,,,,,
SYTL4,,,,,,
